epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6262,1.47673,3.10622,1.08505,0.06733,0.60059,0.09283,0.04919,1.33317,3.30646,1.0487,0.00024,0.00024,0.00024
2,49.001,1.37346,2.53474,0.98558,0.08456,0.75421,0.1823,0.0984,1.25242,3.1624,1.00152,0.00047525,0.00047525,0.00047525
3,76.3936,1.39215,2.04163,0.99412,0.08811,0.78593,0.22568,0.13482,1.27154,2.9722,0.99502,0.00068476,0.00068476,0.00068476
4,101.336,1.49844,1.5906,1.00728,0.08789,0.78394,0.3888,0.20113,1.31346,2.78238,0.99016,0.00086853,0.00086853,0.00086853
5,126.122,1.51695,1.32834,1.00661,0.84471,0.31808,0.51612,0.29897,1.3549,2.47078,1.01846,0.00102656,0.00102656,0.00102656
6,151.694,1.32383,1.0859,0.9714,0.88782,0.54907,0.68635,0.40047,1.30431,1.99105,0.9946,0.00115885,0.00115885,0.00115885
7,175.124,1.39313,1.01892,0.98603,0.79932,0.68484,0.70593,0.38958,1.43011,1.52432,1.03366,0.0012654,0.0012654,0.0012654
8,199.655,1.45421,1.04429,1.01827,0.78308,0.7225,0.73427,0.42415,1.33789,1.25787,1.0173,0.001307,0.001307,0.001307
9,223.773,1.36875,0.96862,0.98042,0.85235,0.75522,0.81368,0.48951,1.29055,0.95809,1.01231,0.001208,0.001208,0.001208
10,246.711,1.23196,0.88732,0.97727,0.86573,0.77304,0.83235,0.52033,1.21869,0.90526,0.99151,0.001109,0.001109,0.001109
11,269.72,1.27679,1.01317,0.99474,0.85733,0.76231,0.82377,0.51454,1.22629,0.93009,0.99092,0.00101,0.00101,0.00101
12,292.213,1.17194,0.96397,0.97799,0.86448,0.76497,0.8348,0.52633,1.18319,0.90041,0.98674,0.000911,0.000911,0.000911
13,315.225,1.25096,0.89522,0.98536,0.83942,0.78229,0.83546,0.53019,1.16724,0.90248,0.97808,0.000812,0.000812,0.000812
14,337.481,1.17832,0.89902,0.97134,0.8564,0.79286,0.85488,0.53559,1.17407,0.88044,0.97961,0.000713,0.000713,0.000713
15,359.88,1.12989,0.85753,0.96091,0.87749,0.80575,0.86668,0.54537,1.16708,0.84666,0.97928,0.000614,0.000614,0.000614
16,383.007,1.16016,0.88521,0.96028,0.88018,0.80814,0.86757,0.55194,1.15876,0.85515,0.97902,0.000515,0.000515,0.000515
17,405.583,1.14671,0.86293,0.97409,0.88889,0.8107,0.87512,0.55881,1.13276,0.85713,0.9728,0.000416,0.000416,0.000416
18,428.243,1.18414,0.81649,0.97801,0.91101,0.79187,0.87488,0.55738,1.13787,0.85519,0.97368,0.000317,0.000317,0.000317
19,451.194,1.11294,0.83416,0.95287,0.88738,0.79881,0.86757,0.55863,1.13074,0.84152,0.9699,0.000218,0.000218,0.000218
20,474.296,1.08905,0.80646,0.9546,0.89173,0.79179,0.86986,0.56617,1.1209,0.82859,0.96415,0.000119,0.000119,0.000119
